"original_text","lang","place","compound","neg","neu","pos","sentiment","created_at","city","country","sentiment_int"
"RT @DrJMZimmerman: I received this text from my 19 year old son who is working with COVID patients. To those who equate quarantine with com…","en","British Columbia, Canada",0,0,1,0,"neu",2020-04-19,"British Columbia","Canada",0
"RT @keithgerein: COVID-19: Alberta doctors slam province for 'shoddy' masks https://t.co/Wl0BMZzJSE #abhealth #covid19ab","en","Alberta, Canada",-0.3818,0.302,0.698,0,"neg",2020-04-19,"Alberta","Canada",-1
"‘We Needed to Go’: Rich Americans Activate Pandemic Escape Plans #covid-19  https://t.co/U7VAo6fh3o","en","Ottawa, Canada",0.5574,0,0.66,0.34,"pos",2020-04-19,"Ottawa","Canada",1
"#peanutbutter sniff test to identify #asymptomatic #COVID19 #carriers.  
#covidtesting #testing #senseofsmell… https://t.co/DOwdLJRfRa","en","Canada",0,0,1,0,"neu",2020-04-19,NA,"Canada",0
"RT @NeetuGarcha: Stewart says he's proud of all Vancouver residents who are following orders and helping to flatten the curve.

As the outb…","en","Vancouver, BC, Canada",0.7003,0,0.608,0.392,"pos",2020-04-22,"Vancouver","Canada",1
"RT @ACLU: BREAKING: We’re suing to ensure vote by mail is an option for all eligible South Carolina voters during COVID-19. 

No one should…","en","Canada",0,0,1,0,"neu",2020-04-22,NA,"Canada",0
"RT @palliumcanada: Pallium and @CMA_Docs are offering 4 new free online modules for all health care providers that focus on pain and sympto…","en","Canada",0.4939,0.176,0.479,0.346,"pos",2020-04-22,NA,"Canada",1
"#letsmeetforabeer In these unedited conversations with members of our community affected by COVID-19 we talk about… https://t.co/7e52f5mREu","en","Alberta, Canada",0,0,1,0,"neu",2020-04-22,"Alberta","Canada",0
"RT @NighthawksYB: Hello, Nighthawks!!! Want to help us capture this covid-19 experience and how it has impacted you...click on the link and…","en","Ontario, Canada",0.4588,0,0.667,0.333,"pos",2020-04-22,"Ontario","Canada",1
"@cvpayne Optics not good for Harvard here. They're going to lose that PR battle.  The good thing about it is that t… https://t.co/EM5MkWchAd","en","Ontario, Canada",0.4767,0.186,0.414,0.4,"pos",2020-04-22,"Ontario","Canada",1
"RT @CitImmCanada: Effective immediately, international students in 🇨🇦 are able to work more than 20 hrs per week while classes are in sessi…","en","Winnipeg, Manitoba, Canada",0,0,1,0,"neu",2020-04-22,"Winnipeg","Canada",0
"@DcrillyDaniel Thank you. I'm sorry for the late delivery. UPS is making deliveries but due to the COVID-19 global… https://t.co/m7f72nxuhj","en","Canada",0.3612,0,0.783,0.217,"pos",2020-04-22,NA,"Canada",1
"RT @cityofcalgary: Despite the challenges we’re facing due to the COVID-19 pandemic, we want to acknowledge today is #EarthDay's 50th anniv…","en","Calgary, Alberta, Canada",0.0772,0,0.885,0.115,"pos",2020-04-22,"Calgary","Canada",1
"RT @MattGertz: Fox promoted hydroxychloroquine nearly 300 times over a two week period, Laura Ingraham credited her show with Trump’s push…","en","Canada",0.3818,0,0.833,0.167,"pos",2020-04-22,NA,"Canada",1
"@ArfeenSyyed @SHABAZGIL Thats not the case here. Their points are valid . If NewYork and Bergamo Italy having strug… https://t.co/Bt8xB2v4TQ","en","Canada",0,0,1,0,"neu",2020-04-22,NA,"Canada",0
"China is evil, China is hell bent on world domination. 

Hong Kong may fall to full on communism soon.

What will t… https://t.co/6MlU2jDwRy","en","Canada",-0.875,0.429,0.571,0,"neg",2020-04-22,NA,"Canada",-1
"RT @CP24: The number of COVID-19 cases in Toronto is lower than originally expected, Toronto's top doctor says as city marks one month unde…","en","Brooklin, Ontario, Canada",-0.0258,0.12,0.71,0.169,"neg",2020-04-23,"Brooklin","Canada",-1
"RT @ChArM91269403: @globalnews Hey@globalnews, where is the story of the people in China literally kicking all of the Africans out of their…","en","Canada",0,0,1,0,"neu",2020-04-23,NA,"Canada",0
"RT @getgutsycanada: Secure-IBD database reported 704 cases in ppl with #IBD - this data extremely important in understanding impact of #COV…","en","Canada",0,0,1,0,"neu",2020-04-23,NA,"Canada",0
"RT @KateDewhirst: NEW! These are legal resources for healthcare organizations in Ontario responding to the COVID-19 pandemic.
https://t.co/…","en","Ontario, Canada",0.128,0,0.842,0.158,"pos",2020-04-24,"Ontario","Canada",1
"RT @MontanaDan30: I can't believe I'm retweeting this.

We have gotten to the point where Trump says putting disinfectant into the body wil…","en","Hamilton, Ontario, Canada",0,0,1,0,"neu",2020-04-24,"Hamilton","Canada",0
"RT @GeoffyPJohnston: My latest on the COVID-19 pandemic:  Poverty will spread in uncertain future https://t.co/W7jVoHKIfd","en","Ontario, Canada",-0.296,0.268,0.732,0,"neg",2020-04-24,"Ontario","Canada",-1
"RT @nspector4: The first 5 cases of coronavirus confirmed in B.C. all travelled here from China. The 6th case confirmed on Feb 20 flew in f…","en","Canada",0,0,1,0,"neu",2020-04-24,NA,"Canada",0
"@cbcmorninglive @CBCNews My mother is a resident at this care home, by reading this I'm trying to figure out if the… https://t.co/trr4Y2NYtP","en","Canada",0.4939,0,0.652,0.348,"pos",2020-04-24,NA,"Canada",1
