"original_text","lang","place","compound","neg","neu","pos","sentiment","created_at","city","country","sentiment_int"
"RT @DrJMZimmerman: I received this text from my 19 year old son who is working with COVID patients. To those who equate quarantine with com…","en","British Columbia, Canada",0,0,1,0,"neu",2020-04-19,"British Columbia","Canada",0
"RT @keithgerein: COVID-19: Alberta doctors slam province for 'shoddy' masks https://t.co/Wl0BMZzJSE #abhealth #covid19ab","en","Alberta, Canada",-0.3818,0.302,0.698,0,"neg",2020-04-19,"Alberta","Canada",-1
"‘We Needed to Go’: Rich Americans Activate Pandemic Escape Plans #covid-19  https://t.co/U7VAo6fh3o","en","Ottawa, Canada",0.5574,0,0.66,0.34,"pos",2020-04-19,"Ottawa","Canada",1
"RT @NeetuGarcha: Stewart says he's proud of all Vancouver residents who are following orders and helping to flatten the curve.

As the outb…","en","Vancouver, BC, Canada",0.7003,0,0.608,0.392,"pos",2020-04-22,"Vancouver","Canada",1
"RT @ACLU: BREAKING: We’re suing to ensure vote by mail is an option for all eligible South Carolina voters during COVID-19. 

No one should…","en","Canada",0,0,1,0,"neu",2020-04-22,NA,"Canada",0
"RT @palliumcanada: Pallium and @CMA_Docs are offering 4 new free online modules for all health care providers that focus on pain and sympto…","en","Canada",0.4939,0.176,0.479,0.346,"pos",2020-04-22,NA,"Canada",1
"RT @CP24: The number of COVID-19 cases in Toronto is lower than originally expected, Toronto's top doctor says as city marks one month unde…","en","Brooklin, Ontario, Canada",-0.0258,0.12,0.71,0.169,"neg",2020-04-23,"Brooklin","Canada",-1
"RT @ChArM91269403: @globalnews Hey@globalnews, where is the story of the people in China literally kicking all of the Africans out of their…","en","Canada",0,0,1,0,"neu",2020-04-23,NA,"Canada",0
"RT @getgutsycanada: Secure-IBD database reported 704 cases in ppl with #IBD - this data extremely important in understanding impact of #COV…","en","Canada",0,0,1,0,"neu",2020-04-23,NA,"Canada",0
"RT @KateDewhirst: NEW! These are legal resources for healthcare organizations in Ontario responding to the COVID-19 pandemic.
https://t.co/…","en","Ontario, Canada",0.128,0,0.842,0.158,"pos",2020-04-24,"Ontario","Canada",1
"RT @MontanaDan30: I can't believe I'm retweeting this.

We have gotten to the point where Trump says putting disinfectant into the body wil…","en","Hamilton, Ontario, Canada",0,0,1,0,"neu",2020-04-24,"Hamilton","Canada",0
"RT @GeoffyPJohnston: My latest on the COVID-19 pandemic:  Poverty will spread in uncertain future https://t.co/W7jVoHKIfd","en","Ontario, Canada",-0.296,0.268,0.732,0,"neg",2020-04-24,"Ontario","Canada",-1
"New Brunswick, we did it! Flattened the COVID-19 curve. And now, our beaches and parks are open! Here are a few sho… https://t.co/0Tqw1UpnvV","en","Fredericton, NB, Canada",0,0,1,0,"neu",2020-04-25,"Fredericton","Canada",0
"RT @kgosztola: Federal Judge Randal Hall rejected NSA whistleblower Reality Winner's request for release from FMC Carswell, even as COVID-1…","en","Nova Scotia, Canada",0.2732,0.138,0.667,0.195,"pos",2020-04-25,"Nova Scotia","Canada",1
"RT @SteveRustad1: 890,000 Americans have been stricken by COVID-19.

51,000 are dead.

22,000,000 have lost their jobs.

Why the hell does…","en","Toronto,Ontario,Canada",-0.9382,0.829,0.171,0,"neg",2020-04-25,"Toronto","Canada",-1
"RT @Franktmcveety: GOLDSTEIN: Big government failed in COVID-19 pandemic https://t.co/M3XlAgvFWK","en","Canada",-0.5423,0.412,0.588,0,"neg",2020-04-26,NA,"Canada",-1
"RT @DonPlett: 7/ Prime Minister Trudeau and his government need to be accountable to Parliament &amp; Canadians. Over the last 2 days, I raised…","en","Alberta, Canada",0,0,1,0,"neu",2020-04-26,"Alberta","Canada",0
"RT @Agproudmary: ""Heart-wrenching is an understatement. My entire body is reacting to this in a way that I've never had myself react,"" said…","en","Toronto, Canada",0,0,1,0,"neu",2020-04-26,"Toronto","Canada",0
"@DrJacobsRad This is good to know maybe our government can now explain this timeline for us..
https://t.co/rBXsxfGxv7","en","Canada",0.4404,0,0.633,0.367,"pos",2020-04-27,NA,"Canada",1
"RT @alancross: What's the first thing you want to do when the COVID-19 lockdowns ease?","en","Toronto, Canada",0.0772,0,0.794,0.206,"pos",2020-04-27,"Toronto","Canada",1
"RT @ToddSmithPC: During the COVID-19 outbreak, our government is expanding the list of eligible expenses to include “at-home” activities un…","en","Ontario, Canada",0,0,1,0,"neu",2020-04-27,"Ontario","Canada",0
"RT @Sunnybrook: We're living in extraordinary times that may be leading to feelings of stress, anxiety &amp; fear.

Tips to help keep well:
➡️…","en","York Region, Ontario, Canada",-0.296,0.303,0.455,0.242,"neg",2020-04-28,"York Region","Canada",-1
"RT @CTVNews: Prime Minister Justin Trudeau says the COVID-19 curve has flattened in many parts of the country, but we’re “not out of the wo…","en","Canada",0,0,1,0,"neu",2020-04-28,NA,"Canada",0
"RT @cbcbooks: ""I was very surprised that something like this didn't exist prior to now and that's more of a commentary on Canadian booksell…","en","Ontario,Canada",0.3612,0,0.737,0.263,"pos",2020-04-28,"Ontario","Canada",1
