"index","created_at","word","value"
1,2020-04-19,"rt",0
2,2020-04-19,"drjmzimmerman",0
3,2020-04-19,"i",0
4,2020-04-19,"received",0
5,2020-04-19,"this",0
6,2020-04-19,"text",0
7,2020-04-19,"from",0
8,2020-04-19,"my",0
9,2020-04-19,"19",0
10,2020-04-19,"year",0
11,2020-04-19,"old",0
12,2020-04-19,"son",0
13,2020-04-19,"who",0
14,2020-04-19,"is",0
15,2020-04-19,"working",0
16,2020-04-19,"with",0
17,2020-04-19,"covid",0
18,2020-04-19,"patients",0
19,2020-04-19,"to",0
20,2020-04-19,"those",0
21,2020-04-19,"who",0
22,2020-04-19,"equate",0
23,2020-04-19,"quarantine",0
24,2020-04-19,"with",0
25,2020-04-19,"com",0
26,2020-04-19,"rt",0
27,2020-04-19,"keithgerein",0
28,2020-04-19,"covid",0
29,2020-04-19,"19",0
30,2020-04-19,"alberta",0
31,2020-04-19,"doctors",0
32,2020-04-19,"slam",-2
33,2020-04-19,"province",0
34,2020-04-19,"for",0
35,2020-04-19,"shoddy",0
36,2020-04-19,"masks",0
37,2020-04-19,"https",0
38,2020-04-19,"t.co",0
39,2020-04-19,"wl0bmzzjse",0
40,2020-04-19,"abhealth",0
41,2020-04-19,"covid19ab",0
42,2020-04-19,"we",0
43,2020-04-19,"needed",0
44,2020-04-19,"to",0
45,2020-04-19,"go",0
46,2020-04-19,"rich",2
47,2020-04-19,"americans",0
48,2020-04-19,"activate",0
49,2020-04-19,"pandemic",0
50,2020-04-19,"escape",-1
51,2020-04-19,"plans",0
52,2020-04-19,"covid",0
53,2020-04-19,"19",0
54,2020-04-19,"https",0
55,2020-04-19,"t.co",0
56,2020-04-19,"u7vao6fh3o",0
57,2020-04-22,"rt",0
58,2020-04-22,"neetugarcha",0
59,2020-04-22,"stewart",0
60,2020-04-22,"says",0
61,2020-04-22,"he's",0
62,2020-04-22,"proud",2
63,2020-04-22,"of",0
64,2020-04-22,"all",0
65,2020-04-22,"vancouver",0
66,2020-04-22,"residents",0
67,2020-04-22,"who",0
68,2020-04-22,"are",0
69,2020-04-22,"following",0
70,2020-04-22,"orders",0
71,2020-04-22,"and",0
72,2020-04-22,"helping",2
73,2020-04-22,"to",0
74,2020-04-22,"flatten",0
75,2020-04-22,"the",0
76,2020-04-22,"curve",0
77,2020-04-22,"as",0
78,2020-04-22,"the",0
79,2020-04-22,"outb",0
80,2020-04-22,"rt",0
81,2020-04-22,"aclu",0
82,2020-04-22,"breaking",0
83,2020-04-22,"we’re",0
84,2020-04-22,"suing",-2
85,2020-04-22,"to",0
86,2020-04-22,"ensure",1
87,2020-04-22,"vote",0
88,2020-04-22,"by",0
89,2020-04-22,"mail",0
90,2020-04-22,"is",0
91,2020-04-22,"an",0
92,2020-04-22,"option",0
93,2020-04-22,"for",0
94,2020-04-22,"all",0
95,2020-04-22,"eligible",0
96,2020-04-22,"south",0
97,2020-04-22,"carolina",0
98,2020-04-22,"voters",0
99,2020-04-22,"during",0
100,2020-04-22,"covid",0
101,2020-04-22,"19",0
102,2020-04-22,"no",-1
103,2020-04-22,"one",0
104,2020-04-22,"should",0
105,2020-04-22,"rt",0
106,2020-04-22,"palliumcanada",0
107,2020-04-22,"pallium",0
108,2020-04-22,"and",0
109,2020-04-22,"cma_docs",0
110,2020-04-22,"are",0
111,2020-04-22,"offering",0
112,2020-04-22,"4",0
113,2020-04-22,"new",0
114,2020-04-22,"free",1
115,2020-04-22,"online",0
116,2020-04-22,"modules",0
117,2020-04-22,"for",0
118,2020-04-22,"all",0
119,2020-04-22,"health",0
120,2020-04-22,"care",2
121,2020-04-22,"providers",0
122,2020-04-22,"that",0
123,2020-04-22,"focus",0
124,2020-04-22,"on",0
125,2020-04-22,"pain",-2
126,2020-04-22,"and",0
127,2020-04-22,"sympto",0
128,2020-04-23,"rt",0
129,2020-04-23,"cp24",0
130,2020-04-23,"the",0
131,2020-04-23,"number",0
132,2020-04-23,"of",0
133,2020-04-23,"covid",0
134,2020-04-23,"19",0
135,2020-04-23,"cases",0
136,2020-04-23,"in",0
137,2020-04-23,"toronto",0
138,2020-04-23,"is",0
139,2020-04-23,"lower",0
140,2020-04-23,"than",0
141,2020-04-23,"originally",0
142,2020-04-23,"expected",0
143,2020-04-23,"toronto's",0
144,2020-04-23,"top",2
145,2020-04-23,"doctor",0
146,2020-04-23,"says",0
147,2020-04-23,"as",0
148,2020-04-23,"city",0
149,2020-04-23,"marks",0
150,2020-04-23,"one",0
151,2020-04-23,"month",0
152,2020-04-23,"unde",0
153,2020-04-23,"rt",0
154,2020-04-23,"charm91269403",0
155,2020-04-23,"globalnews",0
156,2020-04-23,"hey",0
157,2020-04-23,"globalnews",0
158,2020-04-23,"where",0
159,2020-04-23,"is",0
160,2020-04-23,"the",0
161,2020-04-23,"story",0
162,2020-04-23,"of",0
163,2020-04-23,"the",0
164,2020-04-23,"people",0
165,2020-04-23,"in",0
166,2020-04-23,"china",0
167,2020-04-23,"literally",0
168,2020-04-23,"kicking",0
169,2020-04-23,"all",0
170,2020-04-23,"of",0
171,2020-04-23,"the",0
172,2020-04-23,"africans",0
173,2020-04-23,"out",0
174,2020-04-23,"of",0
175,2020-04-23,"their",0
176,2020-04-23,"rt",0
177,2020-04-23,"getgutsycanada",0
178,2020-04-23,"secure",2
179,2020-04-23,"ibd",0
180,2020-04-23,"database",0
181,2020-04-23,"reported",0
182,2020-04-23,"704",0
183,2020-04-23,"cases",0
184,2020-04-23,"in",0
185,2020-04-23,"ppl",0
186,2020-04-23,"with",0
187,2020-04-23,"ibd",0
188,2020-04-23,"this",0
189,2020-04-23,"data",0
190,2020-04-23,"extremely",0
191,2020-04-23,"important",2
192,2020-04-23,"in",0
193,2020-04-23,"understanding",0
194,2020-04-23,"impact",0
195,2020-04-23,"of",0
196,2020-04-23,"cov",0
197,2020-04-24,"rt",0
198,2020-04-24,"katedewhirst",0
199,2020-04-24,"new",0
200,2020-04-24,"these",0
201,2020-04-24,"are",0
202,2020-04-24,"legal",1
203,2020-04-24,"resources",0
204,2020-04-24,"for",0
205,2020-04-24,"healthcare",0
206,2020-04-24,"organizations",0
207,2020-04-24,"in",0
208,2020-04-24,"ontario",0
209,2020-04-24,"responding",0
210,2020-04-24,"to",0
211,2020-04-24,"the",0
212,2020-04-24,"covid",0
213,2020-04-24,"19",0
214,2020-04-24,"pandemic",0
215,2020-04-24,"https",0
216,2020-04-24,"t.co",0
217,2020-04-24,"rt",0
218,2020-04-24,"montanadan30",0
219,2020-04-24,"i",0
220,2020-04-24,"can't",0
221,2020-04-24,"believe",0
222,2020-04-24,"i'm",0
223,2020-04-24,"retweeting",0
224,2020-04-24,"this",0
225,2020-04-24,"we",0
226,2020-04-24,"have",0
227,2020-04-24,"gotten",0
228,2020-04-24,"to",0
229,2020-04-24,"the",0
230,2020-04-24,"point",0
231,2020-04-24,"where",0
232,2020-04-24,"trump",0
233,2020-04-24,"says",0
234,2020-04-24,"putting",0
235,2020-04-24,"disinfectant",0
236,2020-04-24,"into",0
237,2020-04-24,"the",0
238,2020-04-24,"body",0
239,2020-04-24,"wil",0
240,2020-04-24,"rt",0
241,2020-04-24,"geoffypjohnston",0
242,2020-04-24,"my",0
243,2020-04-24,"latest",0
244,2020-04-24,"on",0
245,2020-04-24,"the",0
246,2020-04-24,"covid",0
247,2020-04-24,"19",0
248,2020-04-24,"pandemic",0
249,2020-04-24,"poverty",-1
250,2020-04-24,"will",0
251,2020-04-24,"spread",0
252,2020-04-24,"in",0
253,2020-04-24,"uncertain",-1
254,2020-04-24,"future",0
255,2020-04-24,"https",0
256,2020-04-24,"t.co",0
257,2020-04-24,"w7jvohkifd",0
258,2020-04-25,"new",0
259,2020-04-25,"brunswick",0
260,2020-04-25,"we",0
261,2020-04-25,"did",0
262,2020-04-25,"it",0
263,2020-04-25,"flattened",0
264,2020-04-25,"the",0
265,2020-04-25,"covid",0
266,2020-04-25,"19",0
267,2020-04-25,"curve",0
268,2020-04-25,"and",0
269,2020-04-25,"now",0
270,2020-04-25,"our",0
271,2020-04-25,"beaches",0
272,2020-04-25,"and",0
273,2020-04-25,"parks",0
274,2020-04-25,"are",0
275,2020-04-25,"open",0
276,2020-04-25,"here",0
277,2020-04-25,"are",0
