"index","created_at","word","value"
1,2020-04-19,"rt",0
2,2020-04-19,"tejasvenii",0
3,2020-04-19,"volunteers",0
4,2020-04-19,"of",0
5,2020-04-19,"derasachasauda",0
6,2020-04-19,"is",0
7,2020-04-19,"working",0
8,2020-04-19,"24",0
9,2020-04-19,"7",0
10,2020-04-19,"to",0
11,2020-04-19,"help",2
12,2020-04-19,"others",0
13,2020-04-19,"in",0
14,2020-04-19,"covid_19",0
15,2020-04-19,"sharing",0
16,2020-04-19,"some",0
17,2020-04-19,"tips",0
18,2020-04-19,"to",0
19,2020-04-19,"stay",0
20,2020-04-19,"healthy",2
21,2020-04-19,"wid",0
22,2020-04-19,"d",0
23,2020-04-19,"inspir",0
24,2020-04-19,"rt",0
25,2020-04-19,"dibsroy86",0
26,2020-04-19,"pandemics",0
27,2020-04-19,"demand",-1
28,2020-04-19,"democratic",0
29,2020-04-19,"publicity",0
30,2020-04-19,"not",0
31,2020-04-19,"social",0
32,2020-04-19,"media",0
33,2020-04-19,"spectacles",0
34,2020-04-19,"my",0
35,2020-04-19,"article",0
36,2020-04-19,"in",0
37,2020-04-19,"thewire_in",0
38,2020-04-19,"on",0
39,2020-04-19,"the",0
40,2020-04-19,"need",0
41,2020-04-19,"to",0
42,2020-04-19,"chronicle",0
43,2020-04-19,"quoti",0
44,2020-04-19,"rt",0
45,2020-04-19,"bbcworld",0
46,2020-04-19,"india",0
47,2020-04-19,"coronavirus",0
48,2020-04-19,"should",0
49,2020-04-19,"people",0
50,2020-04-19,"pay",-1
51,2020-04-19,"for",0
52,2020-04-19,"their",0
53,2020-04-19,"own",0
54,2020-04-19,"covid",0
55,2020-04-19,"19",0
56,2020-04-19,"tests",0
57,2020-04-19,"https",0
58,2020-04-19,"t.co",0
59,2020-04-19,"6mt4g0ruq8",0
60,2020-04-22,"rt",0
61,2020-04-22,"timesofindia",0
62,2020-04-22,"pci",0
63,2020-04-22,"asks",0
64,2020-04-22,"govt",0
65,2020-04-22,"media",0
66,2020-04-22,"houses",0
67,2020-04-22,"to",0
68,2020-04-22,"help",2
69,2020-04-22,"journalists",0
70,2020-04-22,"who",0
71,2020-04-22,"have",0
72,2020-04-22,"contracted",0
73,2020-04-22,"covid",0
74,2020-04-22,"19",0
75,2020-04-22,"coronaviruspandemic",0
76,2020-04-22,"coronavirusoutbreak",0
77,2020-04-22,"rt",0
78,2020-04-22,"jpnadda",0
79,2020-04-22,"our",0
80,2020-04-22,"honble",0
81,2020-04-22,"pm",0
82,2020-04-22,"narendramodi",0
83,2020-04-22,"leads",0
84,2020-04-22,"the",0
85,2020-04-22,"world",0
86,2020-04-22,"in",0
87,2020-04-22,"combating",0
88,2020-04-22,"covid",0
89,2020-04-22,"19",0
90,2020-04-22,"ensuring",1
91,2020-04-22,"safety",1
92,2020-04-22,"amp",0
93,2020-04-22,"security",0
94,2020-04-22,"for",0
95,2020-04-22,"the",0
96,2020-04-22,"indian",0
97,2020-04-22,"people",0
98,2020-04-22,"on",0
99,2020-04-22,"one",0
100,2020-04-22,"han",0
101,2020-04-22,"rt",0
102,2020-04-22,"joyb37",0
103,2020-04-22,"simple",0
104,2020-04-22,"singer",0
105,2020-04-22,"india",0
106,2020-04-22,"song",0
107,2020-04-22,"entertainment",0
108,2020-04-22,"perform",0
109,2020-04-22,"love",3
110,2020-04-22,"for",0
111,2020-04-22,"people",0
112,2020-04-22,"stayhome",0
113,2020-04-22,"lockdown",0
114,2020-04-22,"for",0
115,2020-04-22,"covid_19",0
116,2020-04-22,"just",0
117,2020-04-22,"expecting",0
118,2020-04-22,"human",0
119,2020-04-23,"rt",0
120,2020-04-23,"youthkiawaaz",0
121,2020-04-23,"covid",0
122,2020-04-23,"19",0
123,2020-04-23,"self",0
124,2020-04-23,"quarantine",0
125,2020-04-23,"and",0
126,2020-04-23,"social",0
127,2020-04-23,"distancing",0
128,2020-04-23,"have",0
129,2020-04-23,"all",0
130,2020-04-23,"changed",0
131,2020-04-23,"how",0
132,2020-04-23,"we",0
133,2020-04-23,"interact",0
134,2020-04-23,"with",0
135,2020-04-23,"each",0
136,2020-04-23,"other",0
137,2020-04-23,"but",0
138,2020-04-23,"also",0
139,2020-04-23,"in",0
140,2020-04-23,"many",0
141,2020-04-23,"ways",0
142,2020-04-23,"rt",0
143,2020-04-23,"narendramodi",0
144,2020-04-23,"exchanged",0
145,2020-04-23,"views",0
146,2020-04-23,"on",0
147,2020-04-23,"the",0
148,2020-04-23,"covid",0
149,2020-04-23,"19",0
150,2020-04-23,"pandemic",0
151,2020-04-23,"with",0
152,2020-04-23,"pm",0
153,2020-04-23,"leehsienloong",0
154,2020-04-23,"and",0
155,2020-04-23,"thanked",0
156,2020-04-23,"him",0
157,2020-04-23,"for",0
158,2020-04-23,"the",0
159,2020-04-23,"support",2
160,2020-04-23,"and",0
161,2020-04-23,"care",2
162,2020-04-23,"being",0
163,2020-04-23,"extended",0
164,2020-04-23,"rt",0
165,2020-04-23,"republic",0
166,2020-04-23,"india's",0
167,2020-04-23,"response",0
168,2020-04-23,"to",0
169,2020-04-23,"covid",0
170,2020-04-23,"19",0
171,2020-04-23,"has",0
172,2020-04-23,"been",0
173,2020-04-23,"proactive",2
174,2020-04-23,"and",0
175,2020-04-23,"graded",0
176,2020-04-23,"dr",0
177,2020-04-23,"harsh",-2
178,2020-04-23,"vardhan",0
179,2020-04-23,"to",0
180,2020-04-23,"who",0
181,2020-04-23,"https",0
182,2020-04-23,"t.co",0
183,2020-04-23,"vs209ribnu",0
184,2020-04-24,"bangladesh",0
185,2020-04-24,"decide",0
186,2020-04-24,"to",0
187,2020-04-24,"extend",1
188,2020-04-24,"covid",0
189,2020-04-24,"19",0
190,2020-04-24,"shutdown",0
191,2020-04-24,"for",0
192,2020-04-24,"10",0
193,2020-04-24,"more",0
194,2020-04-24,"days",0
195,2020-04-24,"until",0
196,2020-04-24,"may",0
197,2020-04-24,"5",0
198,2020-04-24,"they",0
199,2020-04-24,"initially",0
200,2020-04-24,"declared",0
201,2020-04-24,"general",0
202,2020-04-24,"holiday",0
203,2020-04-24,"https",0
204,2020-04-24,"t.co",0
205,2020-04-24,"my8wen5gbb",0
206,2020-04-24,"rt",0
207,2020-04-24,"hpcl_retail",0
208,2020-04-24,"the",0
209,2020-04-24,"aarogyasetuapp",0
210,2020-04-24,"helps",2
211,2020-04-24,"you",0
212,2020-04-24,"stay",0
213,2020-04-24,"safe",1
214,2020-04-24,"and",0
215,2020-04-24,"gives",0
216,2020-04-24,"you",0
217,2020-04-24,"the",0
218,2020-04-24,"latest",0
219,2020-04-24,"news",0
220,2020-04-24,"and",0
221,2020-04-24,"updates",0
222,2020-04-24,"about",0
223,2020-04-24,"covid",0
224,2020-04-24,"19",0
225,2020-04-24,"ios",0
226,2020-04-24,"https",0
227,2020-04-24,"t.co",0
228,2020-04-24,"zeuz",0
229,2020-04-24,"rt",0
230,2020-04-24,"pti_news",0
231,2020-04-24,"covid",0
232,2020-04-24,"19",0
233,2020-04-24,"situation",0
234,2020-04-24,"especially",0
235,2020-04-24,"serious",0
236,2020-04-24,"in",0
237,2020-04-24,"ahmedabad",0
238,2020-04-24,"surat",0
239,2020-04-24,"thane",0
240,2020-04-24,"hyderabad",0
241,2020-04-24,"chennai",0
242,2020-04-24,"mha",0
243,2020-04-25,"rt",0
244,2020-04-25,"incgoa",0
245,2020-04-25,"the",0
246,2020-04-25,"incompetent",-2
247,2020-04-25,"modi",0
248,2020-04-25,"govt",0
249,2020-04-25,"inspite",0
250,2020-04-25,"of",0
251,2020-04-25,"timely",0
252,2020-04-25,"warnings",-3
253,2020-04-25,"from",0
254,2020-04-25,"who",0
255,2020-04-25,"amp",0
256,2020-04-25,"rahulgandhi",0
257,2020-04-25,"was",0
258,2020-04-25,"ill",-2
259,2020-04-25,"prepared",1
260,2020-04-25,"amp",0
261,2020-04-25,"this",0
262,2020-04-25,"has",0
263,2020-04-25,"only",0
264,2020-04-25,"added",0
265,2020-04-25,"to",0
266,2020-04-25,"our",0
267,2020-04-25,"single",0
268,2020-04-25,"use",0
269,2020-04-25,"masks",0
270,2020-04-25,"gloves",0
271,2020-04-25,"and",0
272,2020-04-25,"bottles",0
273,2020-04-25,"of",0
274,2020-04-25,"sanitizer",0
275,2020-04-25,"shielding",0
276,2020-04-25,"us",0
277,2020-04-25,"from",0
278,2020-04-25,"the",0
279,2020-04-25,"spread",0
280,2020-04-25,"of",0
281,2020-04-25,"covid",0
282,2020-04-25,"19",0
283,2020-04-25,"are",0
284,2020-04-25,"ending",0
285,2020-04-25,"up",0
286,2020-04-25,"on",0
287,2020-04-25,"the",0
288,2020-04-25,"st",0
289,2020-04-25,"https",0
290,2020-04-25,"t.co",0
291,2020-04-25,"7fyxgta4vu",0
292,2020-04-25,"rt",0
293,2020-04-25,"svaradarajan",0
294,2020-04-25,"dear",2
295,2020-04-25,"i",0
296,2020-04-25,"amp",0
297,2020-04-25,"b",0
298,2020-04-25,"min",0
299,2020-04-25,"prakashjavdekar",0
300,2020-04-25,"please",1
301,2020-04-25,"intervene",0
302,2020-04-25,"to",0
303,2020-04-25,"stop",-1
304,2020-04-25,"tn",0
305,2020-04-25,"police",0
306,2020-04-25,"intimidating",-2
307,2020-04-25,"https",0
308,2020-04-25,"t.co",0
309,2020-04-25,"ghkr4ygfka",0
310,2020-04-25,"founder",0
311,2020-04-25,"andrew",0
312,2020-04-25,"sam",0
313,2020-04-26,"rt",0
314,2020-04-26,"pawarspeaks",0
315,2020-04-26,"pmoindia",0
316,2020-04-26,"nsitharamanoffc",0
317,2020-04-26,"the",0
318,2020-04-26,"pandemic",0
319,2020-04-26,"covid_19",0
320,2020-04-26,"has",0
321,2020-04-26,"hit",0
322,2020-04-26,"urban",0
323,2020-04-26,"areas",0
324,2020-04-26,"the",0
325,2020-04-26,"hardest",0
326,2020-04-26,"and",0
327,2020-04-26,"has",0
328,2020-04-26,"battered",0
329,2020-04-26,"urban",0
330,2020-04-26,"economy",0
331,2020-04-26,"aviation",0
332,2020-04-26,"ramzan",0
333,2020-04-26,"mubarak",0
334,2020-04-26,"i",0
335,2020-04-26,"pray",1
336,2020-04-26,"for",0
337,2020-04-26,"everyone’s",0
338,2020-04-26,"safety",1
339,2020-04-26,"well",0
340,2020-04-26,"being",0
341,2020-04-26,"and",0
342,2020-04-26,"prosperity",0
343,2020-04-26,"may",0
344,2020-04-26,"this",0
345,2020-04-26,"holy",0
346,2020-04-26,"month",0
347,2020-04-26,"bring",0
348,2020-04-26,"with",0
349,2020-04-26,"it",0
350,2020-04-26,"abundanc",0
351,2020-04-26,"https",0
352,2020-04-26,"t.co",0
353,2020-04-26,"f9bdf6ggyu",0
354,2020-04-26,"rt",0
355,2020-04-26,"pmoindia",0
356,2020-04-26,"covid",0
357,2020-04-26,"19",0
358,2020-04-26,"has",0
359,2020-04-26,"changed",0
360,2020-04-26,"how",0
