"original_text","lang","place","compound","neg","neu","pos","sentiment","created_at","city","country","sentiment_int"
"RT @tejasvenii: Volunteers of  @derasachasauda is working 24/7 to help others in #Covid_19
  Sharing Some Tips To Stay Healthy
Wid D Inspir…","en","Ambala, India",0.5994,0,0.62,0.38,"pos",2020-04-19,"Ambala","India",1
"RT @dibsroy86: Pandemics demand democratic publicity not social media spectacles. My article in @thewire_in  on the need to chronicle Quoti…","en","Delhi, India",-0.128,0.13,0.87,0,"neg",2020-04-19,"Delhi","India",-1
"RT @BBCWorld: India coronavirus: Should people pay for their own Covid-19 tests? https://t.co/6MT4g0RUq8","en","Lucknow, India",-0.1027,0.219,0.781,0,"neg",2020-04-19,"Lucknow","India",-1
"RT @RomeshNadir: UN Chief Antonio Guterres salutes India for helping over 55 coronavirus-hit countries by sending Hydroxychloroquine and ot…","en","India",0.4019,0,0.816,0.184,"pos",2020-04-19,NA,"India",1
"RT @PMOIndia: COVID-19 does not see race, religion, colour, caste, creed, language or borders before striking. 

Our response and conduct t…","en","India",-0.128,0.12,0.88,0,"neg",2020-04-19,NA,"India",-1
"RT @MukeshDwivediMD: Covid -19 Out of Control              Law and order out of Control       Administration Out of Control   #UddhavWorstC…","en","India",0,0,1,0,"neu",2020-04-19,NA,"India",0
"RT @timesofindia: PCI asks govt, media houses to help journalists who have contracted COVID-19

#CoronavirusPandemic #CoronaVirusOutbreak…","en","Bengaluru, India",0.4019,0,0.748,0.252,"pos",2020-04-22,"Bengaluru","India",1
"RT @JPNadda: Our Honble PM @narendramodi leads the world in combating COVID-19. Ensuring safety &amp; security for the Indian people on one han…","en","India",-0.34,0.167,0.833,0,"neg",2020-04-22,NA,"India",-1
"RT @joyb37: Simple #singer #India #song #entertainment #perform #love for #people #StayHome #lockdown for #Covid_19 just 🙏expecting  #human…","en","Kolkata, India",0,0,1,0,"neu",2020-04-22,"Kolkata","India",0
"RT @narendramodi: The Epidemic Diseases (Amendment) Ordinance, 2020 manifests our commitment to protect each and every healthcare worker wh…","en","Greater Noida, India",0.5859,0,0.652,0.348,"pos",2020-04-22,"Greater Noida","India",1
"RT @ANI: Amarnath Yatra 2020 cancelled due to COVID-19 pandemic https://t.co/yV2aPHc7Ln","en","Mumbai, India",-0.25,0.286,0.714,0,"neg",2020-04-22,"Mumbai","India",-1
"RT @ANI: Bill Gates writes to Prime Minister Narendra Modi: We commend your leadership and the proactive measures you and your government h…","en","New Delhi, India",0.4404,0,0.791,0.209,"pos",2020-04-22,"New Delhi","India",1
"RT @MPLadakh: Kargil becomes Covid-19 free District.

Thanks all warriors!","en","India",0.7003,0,0.463,0.537,"pos",2020-04-22,NA,"India",1
